nta_id,high_risk_prob,risk_bucket,risk_component,risk_confidence,halal_demand_forecast,new_halal_entry_forecast
BK09,1.8152015373361555e-92,Low,Medium-Low Risk,Low confidence,0.4225835716050759,
BK17,1.8665412482948978e-97,Low,Medium-Low Risk,Low confidence,,
BK19,1.0,High,High Risk,High confidence,0.3870307237803667,2.5968691592712343
BK21,1.0,High,Medium-High Risk,High confidence,,
BK23,2.346936890130203e-50,Low,Low Risk,Low confidence,,
BK25,3.4375613819699847e-81,Low,Medium-Low Risk,Low confidence,0.5213045901403925,2.439665282554362
BK26,2.2445369147117643e-93,Low,Medium-Low Risk,Low confidence,,
BK27,9.435735109644081e-89,Low,Medium-Low Risk,Low confidence,0.4400913439277306,1.5928797792558842
BK28,1.0,High,Medium-High Risk,High confidence,0.3516498137321903,
BK29,1.0,High,Medium-High Risk,High confidence,0.5331695667396301,
BK30,1.0000000000000002,High,Medium-High Risk,High confidence,,
BK31,1.0,High,High Risk,High confidence,0.4600633494298971,3.439882324463042
BK32,1.0,High,Medium-High Risk,High confidence,0.3399424132148836,
BK33,1.0000000000000004,High,Medium-High Risk,High confidence,0.28649471028984935,1.9528777308510705
BK34,1.0,High,Medium-High Risk,High confidence,0.2109969162485078,
BK35,1.0,High,Medium-High Risk,High confidence,0.25134078339289245,
BK37,1.0,High,Medium-High Risk,High confidence,0.34400970480527926,1.7386617125507386
BK38,1.0,High,Medium-High Risk,High confidence,0.40937777931469316,1.9949118135685193
BK40,4.259484251674148e-88,Low,Medium-Low Risk,Low confidence,,
BK41,1.0,High,High Risk,High confidence,0.7402119157798528,3.026846616673284
BK42,1.0000000000000002,High,High Risk,High confidence,0.4538929825393623,3.3548216005779485
BK43,1.0,High,Medium-High Risk,High confidence,0.41896458336916814,
BK44,1.0,High,High Risk,High confidence,0.46914240601765905,1.6198967363310874
BK45,9.835279011943006e-85,Low,Medium-Low Risk,Low confidence,,
BK46,7.376291254118763e-52,Low,Low Risk,Low confidence,0.2864855806097892,
BK50,1.0,High,Medium-High Risk,High confidence,,
BK58,0.9999999999999998,High,Medium-High Risk,High confidence,0.7359413552947169,
BK60,1.0,High,Medium-High Risk,High confidence,0.49198203126604884,
BK61,1.0,High,Medium-High Risk,High confidence,,
BK63,3.6923786805433494e-87,Low,Medium-Low Risk,Low confidence,0.421052206403785,
BK64,0.9999999999999999,High,Medium-High Risk,High confidence,,
BK68,1.0397562181741293e-89,Low,Medium-Low Risk,Low confidence,,
BK69,1.0,High,Medium-High Risk,High confidence,0.3495044902438047,1.7853959061566351
BK72,3.286400955765055e-80,Low,Medium-Low Risk,Low confidence,0.6247276940600759,
BK73,1.0,High,Medium-High Risk,High confidence,0.4095634715012779,2.423108013813108
BK75,9.724120493895917e-84,Low,Medium-Low Risk,Low confidence,0.48319429808903874,
BK76,0.9999999999999997,High,Medium-High Risk,High confidence,0.25236702312290205,
BK77,1.0000000000000002,High,Medium-High Risk,High confidence,0.4021916345766791,
BK78,1.0,High,Medium-High Risk,High confidence,0.26792259941772706,
BK79,0.9999999999999998,High,Medium-High Risk,High confidence,,
BK81,1.0000000000000004,High,High Risk,High confidence,,
BK82,0.9999999999999998,High,Medium-High Risk,High confidence,0.25270617518246963,
BK83,1.0000000000000004,High,High Risk,High confidence,,
BK85,5.448953456557071e-83,Low,Medium-Low Risk,Low confidence,,
BK88,1.0,High,Medium-High Risk,High confidence,0.4409709050573433,
BK90,2.4415810011597727e-107,Low,Medium-Low Risk,Low confidence,0.4426794593010697,1.7709567868450091
BK91,1.0,High,Medium-High Risk,High confidence,,
BK95,2.5771525846798136e-123,Low,Medium-Low Risk,Low confidence,,
BK96,7.776580052019591e-88,Low,Medium-Low Risk,Low confidence,,
BX14,1.0000000000000002,High,Medium-High Risk,High confidence,,
BX26,7.393679397944859e-97,Low,Medium-Low Risk,Low confidence,,
BX29,0.9999999999999999,High,Medium-High Risk,High confidence,,
BX34,1.0,High,Medium-High Risk,High confidence,,
BX36,1.0,High,Medium-High Risk,High confidence,,
BX39,0.9999999999999999,High,Medium-High Risk,High confidence,,
BX41,1.0,High,Medium-High Risk,High confidence,,
BX63,1.0,High,Medium-High Risk,High confidence,,
MN01,0.9999999999999999,High,Medium-High Risk,High confidence,,
MN03,1.0,High,Medium-High Risk,High confidence,0.4322183702050285,
MN04,0.9999999999999998,High,Medium-High Risk,High confidence,0.2855392555387163,
MN06,1.1595244959951558e-118,Low,Medium-Low Risk,Low confidence,,
MN09,4.835188586746156e-100,Low,Medium-Low Risk,Low confidence,0.37188138024261314,
MN11,1.0,High,Medium-High Risk,High confidence,0.511784070179657,
MN12,1.0,High,Medium-High Risk,High confidence,0.33295415080711044,1.7891804962929025
MN13,1.0,High,Medium-High Risk,High confidence,0.6691049711018056,2.401730103514545
MN14,0.9999999999999998,High,Medium-High Risk,High confidence,0.4210569862127876,
MN15,1.0,High,Medium-High Risk,High confidence,0.4470866059632562,2.3144253783811326
MN17,1.0,High,Medium-High Risk,High confidence,0.4116869718485498,1.9737542796076817
MN19,1.0,High,Medium-High Risk,High confidence,0.5636549887826492,
MN20,1.0,High,Medium-High Risk,High confidence,0.4596568169934804,1.625681752091319
MN21,1.4549149923410485e-105,Low,Medium-Low Risk,Low confidence,,
MN22,1.0,High,Medium-High Risk,High confidence,0.6522377611426786,3.415591104180482
MN23,1.0,High,Medium-High Risk,High confidence,0.5698991355900784,2.372084519621672
MN24,1.0,High,Medium-High Risk,High confidence,0.5298782728832002,
MN25,1.0,High,Medium-High Risk,High confidence,0.522930374403269,1.7279131758617283
MN27,1.0,High,Medium-High Risk,High confidence,0.5199434437965784,
MN28,1.474752731135446e-94,Low,Medium-Low Risk,Low confidence,,
MN31,1.0,High,Medium-High Risk,High confidence,0.5875234870681512,1.874254981455879
MN32,1.0,High,Medium-High Risk,High confidence,,
MN33,1.0,High,Medium-High Risk,High confidence,0.3725862749796224,
MN34,1.0,High,Medium-High Risk,High confidence,0.27484433598008573,
MN35,0.9999999999999999,High,Medium-High Risk,High confidence,0.3279379541525058,
MN36,0.9999999999999999,High,Medium-High Risk,High confidence,0.29441897957789553,
MN40,1.0,High,Medium-High Risk,High confidence,,
MN99,1.588835321303708e-48,Low,Low Risk,Low confidence,,
QN01,1.0,High,Medium-High Risk,High confidence,,
QN02,0.9999999999999999,High,Medium-High Risk,High confidence,,
QN03,1.7604439634098518e-113,Low,Medium-Low Risk,Low confidence,,
QN05,1.0000000000000002,High,Medium-High Risk,High confidence,,
QN06,5.906860258931365e-86,Low,Medium-Low Risk,Low confidence,0.6134427614666761,0.9560772725913671
QN07,1.0000000000000004,High,Medium-High Risk,High confidence,,
QN08,1.0,High,Medium-High Risk,High confidence,,
QN12,1.0,High,Medium-High Risk,High confidence,,
QN15,0.9999999999999999,High,Medium-High Risk,High confidence,,
QN17,1.0,High,Medium-High Risk,High confidence,0.5363173214832169,
QN18,1.0,High,Medium-High Risk,High confidence,,
QN19,1.6429697143379558e-118,Low,Medium-Low Risk,Low confidence,,
QN20,1.0,High,Medium-High Risk,High confidence,0.5217438229382549,
QN21,1.0,High,Medium-High Risk,High confidence,,
QN25,1.3672367006559233e-73,Low,Medium-Low Risk,Low confidence,,
QN28,1.0,High,High Risk,High confidence,0.5539536790697501,3.1591769344441056
QN29,1.0,High,Medium-High Risk,High confidence,0.46679519871155734,1.1570341883483224
QN30,1.0,High,Medium-High Risk,High confidence,,
QN31,1.0,High,Medium-High Risk,High confidence,0.3717575968888177,
QN33,0.9999999999999998,High,High Risk,High confidence,0.6847100857787698,
QN34,1.0,High,Medium-High Risk,High confidence,0.553720642841772,
QN35,8.729520698347576e-83,Low,Medium-Low Risk,Low confidence,0.49118803382037635,2.9271608960276465
QN37,1.0000000000000004,High,High Risk,High confidence,,
QN38,1.0,High,High Risk,High confidence,0.27719843612187445,
QN41,1.0,High,Medium-High Risk,High confidence,,
QN42,1.0,High,Medium-High Risk,High confidence,,
QN43,1.0000000000000002,High,Medium-High Risk,High confidence,,
QN44,1.0,High,High Risk,High confidence,,1.1878139742385327
QN50,9.46252755376234e-107,Low,Medium-Low Risk,Low confidence,,
QN53,0.9999999999999999,High,Medium-High Risk,High confidence,0.693018505967191,0.7715171701818258
QN54,1.0,High,Medium-High Risk,High confidence,0.4371885894733486,
QN55,1.0,High,Medium-High Risk,High confidence,0.4893329693253629,
QN56,1.0,High,High Risk,High confidence,,
QN57,1.0,High,Medium-High Risk,High confidence,,
QN60,1.0,High,Medium-High Risk,High confidence,,
QN61,1.0,High,High Risk,High confidence,0.5417126573665574,2.146439565664675
QN62,2.338828215462116e-119,Low,Medium-Low Risk,Low confidence,,
QN63,1.0,High,Medium-High Risk,High confidence,,1.091518163450665
QN68,6.306952383765576e-95,Low,Medium-Low Risk,Low confidence,,
QN70,1.0000000000000002,High,High Risk,High confidence,0.6375579487590979,5.125751378329545
QN71,0.9999999999999999,High,Medium-High Risk,High confidence,0.41669935976716144,1.4980822317941729
QN72,1.0,High,Medium-High Risk,High confidence,,
QN76,1.0000000000000002,High,Medium-High Risk,High confidence,0.27936623737527144,
QN98,1.0,High,Medium-High Risk,High confidence,,
