restaurant_id,latitude,longitude,nta,zone_id,in_nyc_nta,in_modeled_microzone
rc6bCEKZ7bXzKuKl2kM0jg,40.51396764756817,-74.27407306208612,,,False,False
gWYnNDBYK8KpENGePSAJFA,40.51060680901482,-74.2684772917121,,,False,False
Xawvs3frXeNxHz_2M1ltaw,40.5176617,-74.2798279,,,False,False
PML0ul7krv_K6adeGob17w,40.50937,-74.2464,SI11,si-new-spring,True,True
MIHDANEJyqStu3CrbDHQcA,40.52331,-74.234509,SI11,si-new-spring,True,True
weOj4r3-TAE2q4AZSMg35A,40.522393,-74.234616,SI11,si-new-spring,True,True
LhWKVtQNF2ugvZQ23vHvZg,40.53276606363867,-74.19175978495657,SI01,nta-si01,True,True
qDgL6WRzrnZMVfPEY8wvnA,40.5540597981034,-74.28112805731168,,,False,False
_GynHkrtHLbke4rT-0co4w,40.55719,-74.27618,,,False,False
ilTdFV8EP660nZs0bhoVKA,40.55418629808376,-74.28058565789682,,,False,False
V_s192GXiLD9Zmboyykllg,40.5602144807568,-74.1696614027023,SI54,nta-si54,True,True
fulD9D9u0lFTvZnoPg9siw,40.55954199121245,-74.1682483,SI54,nta-si54,True,True
CXFJKT5Gfj-n07zwOQA0tg,40.54534005079699,-74.15937819999999,SI54,nta-si54,True,True
yeCNB3rY02d8ckunN30iRQ,40.53943,-74.14867,SI54,nta-si54,True,True
x-_kTa7XHxn-MaPnirFM8g,40.559681,-74.168177,SI54,nta-si54,True,True
MqWP2QCfEiUR16EHCbfkiQ,40.5425686,-74.1648956,SI01,nta-si01,True,True
MHVD3EYZKEF22dtVoGXU0Q,40.55885,-74.16913,SI54,nta-si54,True,True
YpIMMamKh0jTAd4bpedbqA,40.5927,-74.24199,,,False,False
29vg4XHZ1Bogq4gB8p4OZg,40.592767244901225,-74.24173793283728,,,False,False
qpC5l08qamtTuoeGvPrEnQ,40.59285584315964,-74.2424061,,,False,False
fygq7IGcLuY6TahC81vdNw,40.592808,-74.24198,,,False,False
7FauOE11Kbq_ceg_KwYT9g,40.5906503,-74.22866,,,False,False
LMrbAI_lS_VGsM18cDjusw,40.57629,-74.22211,,,False,False
2fWAENJ3A4Sh0sQeFOtfxg,40.57151331163436,-74.2246819,,,False,False
0yQg0_dRxztbeQLbDWSRsA,40.58910971139307,-74.16809703084466,SI05,nta-si05,True,True
bJUDGmgdiicJHTmPtblFRg,40.589632,-74.164509,SI24,nta-si24,True,True
Au3yez0bNmImD5beNJzcSQ,40.5909256,-74.1644701,SI24,nta-si24,True,True
5Lnk0-XdTDYj2AQ7TRFuOg,40.5786949106281,-74.16403739443653,SI24,nta-si24,True,True
ZUtby48R2YHy4Srex9HOjQ,40.57610504757712,-74.10337488465765,SI45,nta-si45,True,True
3tk2SEvBhLR0JvomTMqPwQ,40.57607020424688,-74.10346534442772,SI45,nta-si45,True,True
iIcFJGEJ6MmPCXD2cjq7dg,40.5859,-74.09226,SI36,nta-si36,True,True
9XuL2AQt4AKMXEBbSsU75A,40.58153759651114,-74.0985084,SI36,nta-si36,True,True
hQB3SrB-AZuRYNpgZ_NIJw,40.584489666,-74.093878166,SI36,nta-si36,True,True
fM2MB02iNYrSocuqZ8eCRA,40.58295643369889,-74.09567601978779,SI36,nta-si36,True,True
gzvyRf6UCaVhXDoXjOQa-A,40.580703,-74.098606,SI36,nta-si36,True,True
jdurWp7Bm_-u_m9M2DE76A,40.583195,-74.095119,SI36,nta-si36,True,True
2VPOgG-3Fu8j61GGY_MK-g,40.575795,-74.103948,SI45,nta-si45,True,True
_DIj0hDYMM24TeyD3tmIyQ,40.579092,-74.101495,SI45,nta-si45,True,True
zzgIczguKLVIsP2wo8cnRg,40.571144,-74.111543,SI45,nta-si45,True,True
