year,nta_id,median_income,population,rent_burden
2024,BK0101,124903.0,34401,
2024,BK0102,145388.0,54638,
2024,BK0103,43465.0,25945,
2024,BK0104,79033.0,44115,
2024,BK0201,186162.0,21219,
2024,BK0202,163331.0,33683,
2024,BK0203,112875.0,27594,
2024,BK0204,126617.0,24671,
2024,BK0301,80096.0,67460,
2024,BK0302,75517.0,76506,
2024,BK0401,90813.0,45795,
2024,BK0402,75673.0,51430,
2024,BK0501,63480.0,32988,
2024,BK0502,56323.0,33189,
2024,BK0503,56229.0,40708,
2024,BK0504,35815.0,13565,
2024,BK0505,52685.0,36528,
2024,BK0601,131836.0,49437,
2024,BK0602,195859.0,47450,
2024,BK0701,143449.0,20210,
2024,BK0702,83835.0,40417,
2024,BK0703,58683.0,33569,
2024,BK0801,156985.0,19575,
2024,BK0802,78094.0,72407,
2024,BK0901,74676.0,42055,
2024,BK0902,73114.0,38470,
2024,BK1001,92738.0,69360,
2024,BK1002,75942.0,32574,
2024,BK1101,67567.0,76841,
2024,BK1102,67745.0,24894,
2024,BK1103,72131.0,44373,
2024,BK1201,62307.0,23963,
2024,BK1202,54785.0,50143,
2024,BK1203,90851.0,30430,
2024,BK1204,75418.0,26028,
2024,BK1301,57629.0,22608,
2024,BK1302,41393.0,42425,
2024,BK1303,44360.0,24969,
2024,BK1401,81304.0,56557,
2024,BK1402,88317.0,32012,
2024,BK1403,71847.0,38447,
2024,BK1501,71961.0,38516,
2024,BK1502,74297.0,31911,
2024,BK1503,75799.0,53988,
2024,BK1601,54277.0,32105,
2024,BK1602,35485.0,44002,
2024,BK1701,77191.0,38115,
2024,BK1702,76571.0,28858,
2024,BK1703,69832.0,31478,
2024,BK1704,55132.0,31043,
2024,BK1801,81381.0,53509,
2024,BK1802,106047.0,35361,
2024,BK1803,81336.0,67845,
2024,BX0101,30199.0,42553,
2024,BX0102,32606.0,30879,
2024,BX0201,40832.0,10760,
2024,BX0202,39181.0,30971,
2024,BX0301,32026.0,26947,
2024,BX0302,28140.0,17816,
2024,BX0303,40734.0,22347,
2024,BX0401,42205.0,52628,
2024,BX0402,40312.0,23842,
2024,BX0403,43385.0,38356,
2024,BX0501,36016.0,41590,
2024,BX0502,44118.0,36045,
2024,BX0503,39516.0,24126,
2024,BX0601,28672.0,13236,
2024,BX0602,37559.0,24609,
2024,BX0603,32710.0,28059,
2024,BX0701,43366.0,35092,
2024,BX0702,46618.0,40927,
2024,BX0703,48692.0,30752,
2024,BX0801,57110.0,26812,
2024,BX0802,52386.0,18381,
2024,BX0803,109535.0,39470,
2024,BX0901,43452.0,51478,
2024,BX0902,51609.0,28934,
2024,BX0903,51834.0,29467,
2024,BX0904,61442.0,23178,
2024,BX1001,55166.0,12211,
2024,BX1002,84453.0,39168,
2024,BX1003,75987.0,22790,
2024,BX1004,64204.0,31126,
2024,BX1101,68188.0,22667,
2024,BX1102,78057.0,18734,
2024,BX1103,89199.0,23683,
2024,BX1104,45598.0,26624,
2024,BX1201,54678.0,44679,
2024,BX1202,69232.0,41772,
2024,BX1203,77649.0,40493,
2024,MN0101,198961.0,42669,
2024,MN0102,200000.0,19520,
2024,MN0201,132900.0,20098,
2024,MN0202,174062.0,29212,
2024,MN0203,168629.0,30051,
2024,MN0301,34385.0,33951,
2024,MN0302,58841.0,40677,
2024,MN0303,76136.0,63253,
2024,MN0401,126272.0,56623,
2024,MN0402,105839.0,51733,
2024,MN0501,182280.0,27496,
2024,MN0502,148446.0,20454,
2024,MN0601,160855.0,19394,
2024,MN0602,153720.0,23913,
2024,MN0603,141463.0,50375,
2024,MN0604,170196.0,37976,
2024,MN0701,164712.0,58260,
2024,MN0702,159333.0,84372,
2024,MN0703,100165.0,45157,
2024,MN0801,137355.0,68256,
2024,MN0802,200000.0,46036,
2024,MN0803,147475.0,70123,
2024,MN0901,87452.0,34703,
2024,MN0902,46819.0,18085,
2024,MN0903,68527.0,45434,
2024,MN1001,74007.0,40837,
2024,MN1002,51386.0,70709,
2024,MN1101,42076.0,49182,
2024,MN1102,39957.0,51381,
2024,MN1201,56929.0,65546,
2024,MN1202,78465.0,64582,
2024,MN1203,68523.0,31823,
2024,QN0101,99639.0,41735,
2024,QN0102,92319.0,11630,
2024,QN0103,106539.0,43050,
2024,QN0104,79177.0,32279,
2024,QN0105,63572.0,23231,
2024,QN0201,162099.0,23856,
2024,QN0202,80933.0,40561,
2024,QN0203,76333.0,40181,
2024,QN0301,76981.0,78435,
2024,QN0302,81328.0,22846,
2024,QN0303,80332.0,30972,
2024,QN0401,71466.0,82725,
2024,QN0402,66188.0,53196,
2024,QN0501,85360.0,33998,
2024,QN0502,83952.0,56998,
2024,QN0503,93584.0,28901,
2024,QN0504,92989.0,29150,
2024,QN0601,80469.0,24308,
2024,QN0602,103420.0,75935,
2024,QN0701,91788.0,24748,
2024,QN0702,96690.0,24299,
2024,QN0703,104357.0,19799,
2024,QN0704,73518.0,45342,
2024,QN0705,59016.0,26040,
2024,QN0706,73641.0,15962,
2024,QN0707,51113.0,52740,
2024,QN0801,85596.0,27635,
2024,QN0802,76746.0,29566,
2024,QN0803,93941.0,17032,
2024,QN0804,87965.0,20414,
2024,QN0805,87638.0,31307,
2024,QN0901,91115.0,19812,
2024,QN0902,87270.0,27605,
2024,QN0903,86469.0,19766,
2024,QN0904,87067.0,21350,
2024,QN0905,91556.0,34073,
2024,QN1001,98335.0,67853,
2024,QN1002,82476.0,18771,
2024,QN1003,94559.0,24528,
2024,QN1101,92728.0,28801,
2024,QN1102,110049.0,29079,
2024,QN1103,115480.0,21742,
2024,QN1104,102730.0,20635,
2024,QN1201,59944.0,46320,
2024,QN1202,74912.0,33429,
2024,QN1203,82152.0,34640,
2024,QN1204,73248.0,26381,
2024,QN1205,100043.0,45425,
2024,QN1206,84178.0,18979,
2024,QN1301,110237.0,19786,
2024,QN1302,107765.0,22997,
2024,QN1303,95650.0,47535,
2024,QN1304,114138.0,16994,
2024,QN1305,112321.0,22836,
2024,QN1306,113251.0,19574,
2024,QN1307,110038.0,22682,
2024,QN1401,58632.0,46718,
2024,QN1402,53981.0,31981,
2024,QN1403,112035.0,20498,
2024,SI0101,70449.0,16254,
2024,SI0102,57276.0,14076,
2024,SI0103,73470.0,18994,
2024,SI0104,104132.0,28640,
2024,SI0105,120470.0,25821,
2024,SI0106,76168.0,15900,
2024,SI0107,88011.0,26226,
2024,SI0201,85557.0,30582,
2024,SI0202,93173.0,23207,
2024,SI0203,109072.0,26414,
2024,SI0204,98921.0,35310,
2024,SI0301,109406.0,16818,
2024,SI0302,119220.0,47501,
2024,SI0303,111509.0,25344,
2024,SI0304,121815.0,33164,
2024,SI0305,134828.0,13834,
2024,BK1061,134894.0,623,
2024,QN0161,174998.0,43,
2024,SI9561,86784.0,324,
2024,BK1771,67498.0,22,
2024,QN0574,174998.0,12,
2024,BK5691,137498.0,13,
2024,BX2691,106249.0,56,
2024,BX2791,67498.0,26,
2024,BX2891,45499.0,36,
2024,QN8492,200000.0,8,
2024,SI0191,109867.0,42,
2024,SI0391,184998.0,43,
2024,SI9592,112498.0,59,
