nta,median_household_income,population_16plus,inspection_count,avg_score,critical_violation_rate,trip_count,unique_start_station_count,restaurant_count,halal_count,halal_share,avg_rating,total_review_count
BK0101,124903.0,34401,,,,67156.0,29.0,22.0,3.0,0.1363636363636363,3.4045454545454548,2734.0
BK0102,145388.0,54638,,,,124179.0,38.0,53.0,13.0,0.2452830188679245,3.830188679245283,22998.0
BK0103,43465.0,25945,,,,6410.0,11.0,9.0,1.0,0.1111111111111111,2.6444444444444444,78.0
BK0104,79033.0,44115,,,,49482.0,42.0,21.0,6.0,0.2857142857142857,3.3761904761904766,2766.0
BK0201,186162.0,21219,,,,27218.0,12.0,22.0,6.0,0.2727272727272727,3.527272727272727,2876.0
BK0202,163331.0,33683,,,,62700.0,31.0,37.0,10.0,0.2702702702702703,3.9702702702702704,5641.0
BK0203,112875.0,27594,,,,51906.0,23.0,14.0,4.0,0.2857142857142857,3.6,1067.0
BK0204,126617.0,24671,,,,21677.0,8.0,15.0,3.0,0.2,3.4,1093.0
BK0261,,0,,,,10143.0,7.0,0.0,0.0,0.0,0.0,0.0
BK0301,80096.0,67460,,,,43910.0,35.0,34.0,14.0,0.4117647058823529,3.567647058823529,2167.0
BK0302,75517.0,76506,,,,30788.0,39.0,25.0,5.0,0.2,3.188,522.0
BK0401,90813.0,45795,,,,31001.0,30.0,24.0,4.0,0.1666666666666666,2.85,2093.0
BK0402,75673.0,51430,,,,20567.0,30.0,15.0,3.0,0.2,3.02,374.0
BK0471,,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BK0501,63480.0,32988,,,,0.0,0.0,7.0,1.0,0.1428571428571428,1.3571428571428572,89.0
BK0502,56323.0,33189,,,,0.0,0.0,5.0,1.0,0.2,2.5,12.0
BK0503,56229.0,40708,,,,0.0,0.0,3.0,0.0,0.0,3.0,2.0
BK0504,35815.0,13565,,,,0.0,0.0,2.0,0.0,0.0,3.25,593.0
BK0505,52685.0,36528,,,,0.0,0.0,6.0,4.0,0.6666666666666666,2.35,144.0
BK0571,,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BK0601,131836.0,49437,,,,64912.0,56.0,28.0,3.0,0.1071428571428571,3.532142857142857,10764.0
BK0602,195859.0,47450,,,,56988.0,26.0,27.0,8.0,0.2962962962962963,3.8333333333333335,6464.0
BK0701,143449.0,20210,,,,9965.0,14.0,7.0,3.0,0.4285714285714285,2.914285714285714,620.0
BK0702,83835.0,40417,,,,11297.0,41.0,11.0,3.0,0.2727272727272727,3.2454545454545456,321.0
BK0703,58683.0,33569,,,,4345.0,16.0,8.0,1.0,0.125,3.3375,940.0
BK0771,,0,,,,1958.0,4.0,0.0,0.0,0.0,0.0,0.0
BK0801,156985.0,19575,,,,30967.0,13.0,17.0,3.0,0.1764705882352941,3.888235294117647,5444.0
BK0802,78094.0,72407,,,,36869.0,39.0,17.0,1.0,0.0588235294117647,3.2294117647058824,1703.0
BK0891,,0,,,,977.0,3.0,0.0,0.0,0.0,0.0,0.0
BK0901,74676.0,42055,,,,13541.0,20.0,23.0,4.0,0.1739130434782608,3.4826086956521736,672.0
BK0902,73114.0,38470,,,,16809.0,32.0,16.0,4.0,0.25,3.15625,887.0
BK1001,92738.0,69360,,,,5260.0,51.0,63.0,27.0,0.4285714285714285,3.758730158730159,7002.0
BK1002,75942.0,32574,,,,0.0,0.0,3.0,1.0,0.3333333333333333,2.4,397.0
BK1061,134894.0,623,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BK1091,,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BK1101,67567.0,76841,,,,0.0,0.0,14.0,4.0,0.2857142857142857,3.7285714285714286,526.0
BK1102,67745.0,24894,,,,0.0,0.0,14.0,7.0,0.5,3.457142857142857,1311.0
BK1103,72131.0,44373,,,,0.0,0.0,12.0,7.0,0.5833333333333334,3.5,5333.0
BK1201,62307.0,23963,,,,619.0,2.0,5.0,0.0,0.0,3.64,1218.0
BK1202,54785.0,50143,,,,587.0,4.0,43.0,2.0,0.0465116279069767,2.737209302325581,628.0
BK1203,90851.0,30430,,,,3571.0,13.0,15.0,9.0,0.6,2.7666666666666666,692.0
BK1204,75418.0,26028,,,,0.0,0.0,11.0,0.0,0.0,3.3,266.0
BK1301,57629.0,22608,,,,0.0,0.0,1.0,1.0,1.0,0.0,0.0
BK1302,41393.0,42425,,,,0.0,0.0,6.0,3.0,0.5,2.033333333333333,41.0
BK1303,44360.0,24969,,,,0.0,0.0,12.0,2.0,0.1666666666666666,3.3166666666666664,1445.0
BK1391,,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BK1401,81304.0,56557,,,,5722.0,12.0,29.0,11.0,0.3793103448275862,2.793103448275862,1117.0
BK1402,88317.0,32012,,,,3552.0,9.0,37.0,10.0,0.2702702702702703,3.027027027027027,2976.0
BK1403,71847.0,38447,,,,0.0,0.0,44.0,2.0,0.0454545454545454,2.6113636363636363,5502.0
BK1501,71961.0,38516,,,,0.0,0.0,43.0,4.0,0.0930232558139534,3.153488372093023,2319.0
BK1502,74297.0,31911,,,,0.0,0.0,19.0,4.0,0.2105263157894736,3.6,1374.0
BK1503,75799.0,53988,,,,0.0,0.0,16.0,5.0,0.3125,3.26875,3706.0
BK1601,54277.0,32105,,,,5240.0,27.0,7.0,2.0,0.2857142857142857,2.314285714285714,67.0
BK1602,35485.0,44002,,,,265.0,1.0,6.0,5.0,0.8333333333333334,0.7333333333333334,13.0
BK1701,77191.0,38115,,,,3570.0,16.0,9.0,2.0,0.2222222222222222,2.2555555555555555,153.0
BK1702,76571.0,28858,,,,223.0,3.0,3.0,1.0,0.3333333333333333,2.0,32.0
BK1703,69832.0,31478,,,,1118.0,12.0,3.0,1.0,0.3333333333333333,3.4,8.0
BK1704,55132.0,31043,,,,0.0,0.0,7.0,4.0,0.5714285714285714,1.9,12.0
BK1771,67498.0,22,,,,96.0,1.0,0.0,0.0,0.0,0.0,0.0
BK1801,81381.0,53509,,,,0.0,0.0,13.0,7.0,0.5384615384615384,2.784615384615385,401.0
BK1802,106047.0,35361,,,,0.0,0.0,13.0,2.0,0.1538461538461538,3.0384615384615383,251.0
BK1803,81336.0,67845,,,,0.0,0.0,4.0,1.0,0.25,2.65,56.0
BK1891,,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BK1892,,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BK1893,,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BK5591,,0,,,,20553.0,13.0,0.0,0.0,0.0,0.0,0.0
BK5691,137498.0,13,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BK5692,,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BK5693,,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BX0101,30199.0,42553,,,,10370.0,33.0,8.0,4.0,0.5,2.85,40.0
BX0102,32606.0,30879,,,,7663.0,20.0,17.0,7.0,0.4117647058823529,2.147058823529412,127.0
BX0201,40832.0,10760,,,,796.0,7.0,0.0,0.0,0.0,0.0,0.0
BX0202,39181.0,30971,,,,3602.0,16.0,3.0,1.0,0.3333333333333333,0.6666666666666666,5.0
BX0291,,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BX0301,32026.0,26947,,,,3161.0,11.0,6.0,3.0,0.5,1.1333333333333333,8.0
BX0302,28140.0,17816,,,,4235.0,12.0,6.0,1.0,0.1666666666666666,0.8333333333333334,1.0
BX0303,40734.0,22347,,,,3072.0,14.0,1.0,1.0,1.0,0.0,0.0
BX0391,,0,,,,627.0,4.0,0.0,0.0,0.0,0.0,0.0
BX0401,42205.0,52628,,,,10132.0,26.0,17.0,5.0,0.2941176470588235,2.3058823529411767,92.0
BX0402,40312.0,23842,,,,2448.0,10.0,0.0,0.0,0.0,0.0,0.0
BX0403,43385.0,38356,,,,4546.0,15.0,6.0,0.0,0.0,1.55,6.0
BX0491,,0,,,,2340.0,5.0,0.0,0.0,0.0,0.0,0.0
BX0492,,0,,,,364.0,2.0,0.0,0.0,0.0,0.0,0.0
BX0501,36016.0,41590,,,,3691.0,21.0,7.0,0.0,0.0,2.314285714285714,61.0
BX0502,44118.0,36045,,,,4218.0,17.0,8.0,1.0,0.125,1.7875,34.0
BX0503,39516.0,24126,,,,2126.0,8.0,2.0,2.0,1.0,3.55,32.0
BX0601,28672.0,13236,,,,1891.0,10.0,1.0,0.0,0.0,1.0,1.0
BX0602,37559.0,24609,,,,2758.0,13.0,3.0,0.0,0.0,0.5,6.0
BX0603,32710.0,28059,,,,3212.0,12.0,9.0,2.0,0.2222222222222222,3.1,828.0
BX0701,43366.0,35092,,,,2845.0,17.0,7.0,2.0,0.2857142857142857,2.885714285714286,55.0
BX0702,46618.0,40927,,,,3884.0,25.0,10.0,4.0,0.4,2.6100000000000003,46.0
BX0703,48692.0,30752,,,,1973.0,19.0,15.0,9.0,0.6,3.2266666666666666,305.0
BX0801,57110.0,26812,,,,1323.0,11.0,2.0,0.0,0.0,2.35,17.0
BX0802,52386.0,18381,,,,1761.0,11.0,8.0,6.0,0.75,3.4125,340.0
BX0803,109535.0,39470,,,,0.0,0.0,9.0,1.0,0.1111111111111111,3.477777777777778,1120.0
BX0901,43452.0,51478,,,,0.0,0.0,10.0,6.0,0.6,2.88,141.0
BX0902,51609.0,28934,,,,0.0,0.0,1.0,0.0,0.0,4.0,1.0
BX0903,51834.0,29467,,,,0.0,0.0,14.0,9.0,0.6428571428571429,2.0785714285714287,147.0
BX0904,61442.0,23178,,,,0.0,0.0,20.0,16.0,0.8,2.435,1173.0
BX0991,,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BX1001,55166.0,12211,,,,0.0,0.0,4.0,4.0,1.0,2.1,20.0
BX1002,84453.0,39168,,,,0.0,0.0,5.0,1.0,0.2,2.58,1112.0
BX1003,75987.0,22790,,,,0.0,0.0,4.0,0.0,0.0,2.95,99.0
BX1004,64204.0,31126,,,,0.0,0.0,4.0,1.0,0.25,2.1,17.0
BX1071,,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BX1091,,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BX1101,68188.0,22667,,,,0.0,0.0,15.0,5.0,0.3333333333333333,2.9466666666666668,374.0
BX1102,78057.0,18734,,,,0.0,0.0,5.0,3.0,0.6,3.3600000000000003,365.0
BX1103,89199.0,23683,,,,0.0,0.0,3.0,1.0,0.3333333333333333,3.4333333333333336,66.0
BX1104,45598.0,26624,,,,0.0,0.0,4.0,4.0,1.0,0.95,33.0
BX1161,,480,,,,0.0,0.0,2.0,0.0,0.0,3.6,153.0
BX1201,54678.0,44679,,,,0.0,0.0,6.0,1.0,0.1666666666666666,2.466666666666667,106.0
BX1202,69232.0,41772,,,,0.0,0.0,4.0,0.0,0.0,2.475,77.0
BX1203,77649.0,40493,,,,0.0,0.0,9.0,6.0,0.6666666666666666,3.211111111111111,66.0
BX1271,,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BX2691,106249.0,56,,,,193.0,2.0,0.0,0.0,0.0,0.0,0.0
BX2791,67498.0,26,,,,102.0,1.0,0.0,0.0,0.0,0.0,0.0
BX2891,45499.0,36,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MN0101,198961.0,42669,,,,71975.0,34.0,65.0,24.0,0.3692307692307692,3.6046153846153848,9480.0
MN0102,200000.0,19520,,,,57759.0,23.0,23.0,4.0,0.1739130434782608,3.065217391304348,7394.0
MN0191,,0,,,,799.0,3.0,1.0,0.0,0.0,4.2,11.0
MN0201,132900.0,20098,,,,74334.0,20.0,22.0,8.0,0.3636363636363636,3.55,14356.0
MN0202,174062.0,29212,,,,88087.0,20.0,45.0,12.0,0.2666666666666666,4.082222222222222,35178.0
MN0203,168629.0,30051,,,,85996.0,22.0,22.0,3.0,0.1363636363636363,4.072727272727272,17139.0
MN0301,34385.0,33951,,,,46545.0,17.0,22.0,4.0,0.1818181818181818,3.8318181818181816,25361.0
MN0302,58841.0,40677,,,,73830.0,22.0,22.0,8.0,0.3636363636363636,4.295454545454546,29317.0
MN0303,76136.0,63253,,,,147146.0,39.0,73.0,17.0,0.2328767123287671,3.9753424657534246,57431.0
