nta,trajectory_cluster
BK0101,0
BK0102,2
BK0103,3
BK0104,0
BK0201,0
BK0202,0
BK0203,0
BK0204,0
BK0261,1
BK0301,0
BK0302,0
BK0401,0
BK0402,0
BK0471,1
BK0501,4
BK0502,4
BK0503,4
BK0504,3
BK0505,4
BK0571,1
BK0601,0
BK0602,0
BK0701,0
BK0702,0
BK0703,3
BK0771,1
BK0801,0
BK0802,0
BK0891,1
BK0901,0
BK0902,0
BK1001,0
BK1002,4
BK1061,1
BK1091,1
BK1101,4
BK1102,4
BK1103,4
BK1201,0
BK1202,3
BK1203,0
BK1204,4
BK1301,4
BK1302,3
BK1303,4
BK1391,1
BK1401,0
BK1402,0
BK1403,4
BK1501,4
BK1502,4
BK1503,4
BK1601,3
BK1602,3
BK1701,0
BK1702,4
BK1703,0
BK1704,4
BK1771,1
BK1801,4
BK1802,4
BK1803,4
BK1891,1
BK1892,1
BK1893,1
BK5591,1
BK5691,1
BK5692,1
BK5693,1
BX0101,3
BX0102,3
BX0201,3
BX0202,3
BX0291,1
BX0301,3
BX0302,3
BX0303,3
BX0391,1
BX0401,3
BX0402,3
BX0403,3
BX0491,1
BX0492,1
BX0501,3
BX0502,3
BX0503,3
BX0601,3
BX0602,3
BX0603,3
BX0701,3
BX0702,3
BX0703,3
BX0801,3
BX0802,3
BX0803,4
BX0901,4
BX0902,4
BX0903,4
BX0904,4
BX0991,1
BX1001,4
BX1002,4
BX1003,4
BX1004,4
BX1071,1
BX1091,1
BX1101,4
BX1102,4
BX1103,4
BX1104,3
BX1161,4
BX1201,4
BX1202,4
BX1203,4
BX1271,1
BX2691,1
BX2791,1
BX2891,1
MN0101,0
MN0102,0
MN0191,0
MN0201,2
MN0202,2
MN0203,2
MN0301,2
MN0302,2
MN0303,2
MN0401,2
MN0402,2
MN0501,2
MN0502,2
MN0601,0
MN0602,2
MN0603,0
MN0604,0
MN0661,1
MN0701,0
MN0702,0
MN0703,0
MN0801,0
MN0802,0
MN0803,2
MN0901,0
MN0902,3
MN0903,0
MN1001,0
MN1002,3
MN1101,3
MN1102,3
MN1191,1
MN1201,3
MN1202,0
MN1203,0
MN1291,1
MN1292,1
MN6491,2
QN0101,0
QN0102,0
QN0103,0
QN0104,0
QN0105,0
QN0151,1
QN0161,0
QN0171,1
QN0191,1
QN0201,0
QN0202,0
QN0203,0
QN0261,1
QN0271,1
QN0301,0
QN0302,0
QN0303,0
QN0401,0
QN0402,3
QN0501,0
QN0502,0
QN0503,0
QN0504,4
QN0571,1
QN0572,1
QN0573,1
QN0574,1
QN0601,4
QN0602,4
QN0701,4
QN0702,4
QN0703,4
QN0704,4
QN0705,4
QN0706,4
QN0707,4
QN0761,1
QN0791,1
QN0801,4
QN0802,4
QN0803,4
QN0804,4
QN0805,4
QN0871,1
QN0891,1
QN0901,4
QN0902,4
QN0903,4
QN0904,4
QN0905,4
QN1001,4
QN1002,4
QN1003,4
QN1091,1
QN1101,4
QN1102,4
QN1103,4
QN1104,4
QN1191,1
QN1201,4
QN1202,4
QN1203,4
QN1204,4
QN1205,4
QN1206,4
QN1301,4
QN1302,4
QN1303,4
QN1304,4
QN1305,4
QN1306,4
QN1307,4
QN1371,1
QN1401,4
QN1402,4
QN1403,4
QN1491,1
QN8081,1
QN8191,2
QN8291,1
QN8381,1
QN8491,1
QN8492,1
SI0101,4
SI0102,4
SI0103,4
SI0104,4
SI0105,4
SI0106,4
SI0107,4
SI0191,1
SI0201,4
SI0202,4
SI0203,4
SI0204,4
SI0291,4
SI0301,4
SI0302,4
SI0303,4
SI0304,4
SI0305,4
SI0391,1
SI9561,1
SI9591,1
SI9592,1
SI9593,1
