id,name,categories,rating,review_count,price,latitude,longitude,is_closed,search_term,anchor_name
rc6bCEKZ7bXzKuKl2kM0jg,Sunda Kitchen,"Indonesian, Thai, Halal",4.6,16,,40.51396764756817,-74.27407306208612,False,halal,grid_r01_c00
gWYnNDBYK8KpENGePSAJFA,La Hacienda Restaurant,Mexican,4.7,55,,40.51060680901482,-74.2684772917121,False,halal,grid_r01_c00
Xawvs3frXeNxHz_2M1ltaw,Jezif,Fast Food,3.3,9,,40.5176617,-74.2798279,False,halal,grid_r01_c00
PML0ul7krv_K6adeGob17w,Tottenville Gourmet Deli & Smoke,"Sandwiches, Delis, Vape Shops",0.0,0,$,40.50937,-74.2464,False,halal,grid_r01_c00
MIHDANEJyqStu3CrbDHQcA,Laila,"Mediterranean, Syrian, Halal",4.3,256,$$,40.52331,-74.234509,False,halal,grid_r01_c01
weOj4r3-TAE2q4AZSMg35A,Page Plaza Restaurant,"American, Diners, Breakfast & Brunch",3.8,156,$$,40.522393,-74.234616,False,halal,grid_r01_c01
LhWKVtQNF2ugvZQ23vHvZg,Jiannetto's Pizza Truck,"Pizza, Food Trucks",4.1,37,$,40.53276606363867,-74.19175978495657,False,halal,grid_r01_c02
qDgL6WRzrnZMVfPEY8wvnA,Strickland’s Steakhouse,"Steakhouses, Seafood, Cocktail Bars",4.2,264,$$$$,40.554059798103395,-74.28112805731168,False,halal,grid_r02_c00
_GynHkrtHLbke4rT-0co4w,New York Fried Chicken,"American, Fast Food",4.3,27,,40.55719,-74.27618,False,halal,grid_r02_c00
ilTdFV8EP660nZs0bhoVKA,Perla,"Coffee & Tea, Breakfast & Brunch, Creperies",4.3,63,,40.55418629808376,-74.28058565789682,False,halal,grid_r02_c00
V_s192GXiLD9Zmboyykllg,Halal Cart,"Street Vendors, Halal",4.3,37,$,40.5602144807568,-74.1696614027023,False,halal,grid_r02_c03
fulD9D9u0lFTvZnoPg9siw,Yala Halal,Halal,3.3,3,,40.55954199121245,-74.1682483,False,halal,grid_r02_c03
CXFJKT5Gfj-n07zwOQA0tg,Riva Mediterranean And Turkish Cuisine,"Mediterranean, Turkish, Breakfast & Brunch",4.6,46,,40.54534005079699,-74.15937819999999,False,halal,grid_r02_c03
